ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS
18,Adams Mill & Columbia Rd NW,31104,38.922925,-77.042581,7,7
19,14th & Harvard St NW,31105,38.9268,-77.0322,7,11
20,Calvert & Biltmore St NW,31106,38.923203,-77.047637,7,16
21,Lamont & Mt Pleasant NW,31107,38.9319,-77.0388,15,4
22,4th & M St SW,31108,38.8767,-77.0178,20,3
23,15th & P St NW,31201,38.90985,-77.034438,13,6
24,14th & R St NW,31202,38.913046,-77.032008,7,11
25,14th & Rhode Island Ave NW,31203,38.9086,-77.0323,9,11
26,20th & E St NW,31204,38.8963,-77.045,11,4
27,21st & I St NW,31205,38.900711,-77.046449,6,29
28,Georgia & New Hampshire Ave NW,31400,38.936684,-77.024181,7,11
29,14th St & Spring Rd NW,31401,38.9375,-77.0328,11,7
30,John McCormack Dr & Michigan Ave NE,31502,38.9346,-76.9955,8,3
31,5th & K St NW,31600,38.90304,-77.019027,11,7
32,19th & East Capitol St SE,31601,38.8896,-76.9769,5,10
33,Park Rd & Holmead Pl NW,31602,38.9308,-77.0315,9,9
34,Good Hope & Naylor Rd SE,31700,38.860227,-76.966572,2,9
35,Connecticut Ave & Newark St NW / Cleveland Park,31305,38.934267,-77.057979,2,8
36,Randle Circle & Minnesota Ave SE,31702,38.878,-76.9607,10,1
37,Minnesota Ave Metro/DOES,31703,38.897063,-76.947446,6,9
38,Nannie Helen Burroughs & Minnesota Ave NE,31704,38.901385,-76.941877,9,2
39,Anacostia Metro,31801,38.862669,-76.994637,9,1
40,Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,6,5
41,19th & E Street NW,31206,38.8952,-77.0436,4,7
42,4th & W St NE,31500,38.919077,-77.000648,6,8
43,10th & U St NW,31111,38.9172,-77.0259,14,1
44,Georgia Ave and Fairmont St NW,31207,38.9249,-77.0222,4,7
45,1st & N St  SE,31209,38.8743,-77.0057,31,7
46,20th St & Florida Ave NW,31110,38.9154,-77.0446,13,2
